epoch,accuracy,loss,val_accuracy,val_loss
1,0.7761634588241577,1.7945125102996826,0.880596399307251,0.2690579891204834
2,0.9008872509002686,0.7740509510040283,0.9194530844688416,0.16884297132492065
3,0.9198321104049683,0.6205209493637085,0.9267714619636536,0.1523396521806717
4,0.9312056303024292,0.530404269695282,0.9413663744926453,0.1256779581308365
5,0.9353708028793335,0.4992179274559021,0.9373795390129089,0.11875136941671371
6,0.9386492967605591,0.4678862690925598,0.9469146132469177,0.11495384573936462
7,0.9415719509124756,0.4459821879863739,0.9503200054168701,0.10776187479496002
8,0.9463298320770264,0.41184234619140625,0.9526073932647705,0.1080172136425972
9,0.9480670690536499,0.3987566828727722,0.9473772048950195,0.1239318922162056
10,0.9497320055961609,0.38320493698120117,0.9560801982879639,0.10046427696943283
