round,aggregated_loss,aggregated_accuracy,centralized_loss,centralized_accuracy
1,0.7581240832805634,0.7198720276355743,0.758190929889679,0.7198745608329773
2,0.755028486251831,0.7198688089847565,0.7550289630889893,0.719871997833252
3,1.3387751579284668,0.7196149826049805,1.3388066291809082,0.7196149826049805
4,0.29096536338329315,0.8139794170856476,0.2916703224182129,0.8137834668159485
5,0.22839386016130447,0.8859550654888153,0.2290913611650467,0.8861034512519836
